TIME,ID,latitude,longitude,altitude,#WiFi networks,SSID1,MAC1,Frequency1,Signal1,SSID2,MAC2,Frequency2,Signal2,SSID3,MAC3,Frequency3,Signal3,SSID4,MAC4,Frequency4,Signal4,SSID5,MAC5,Frequency5,Signal5,SSID6,MAC6,Frequency6,Signal6,SSID7,MAC7,Frequency7,Signal7,SSID8,MAC8,Frequency8,Signal8,SSID9,MAC9,Frequency9,Signal9,SSID10,MAC10,Frequency10,Signal10
2017-10-31 12:23:25,model=SM-G950F_device=dreamlte,32.10313302795498,35.20951560010722,702.2631528246692,3,IT-MNG,1c:b9:c4:15:ed:b8,1,-81,,8c:0c:90:ae:16:83,11,-86,Ariel_University,1c:b9:c4:16:ed:3c,44,-91
2017-10-31 12:23:25,model=SM-G950F_device=dreamlte,32.103549749897724,35.209183904621554,695.6948276517195,8,IT-MNG,1c:b9:c4:15:ed:b8,1,-73,IT-MNG,1c:b9:c4:15:ed:bc,48,-79,,1c:b9:c4:96:ed:47,36,-80,Ariel_University,1c:b9:c4:16:e5:a8,6,-85,,8c:0c:90:6e:16:88,11,-87,,1c:b9:c4:95:1c:b7,36,-88,Ariel_University,1c:b9:c4:16:28:ec,36,-88,,1c:b9:c4:96:28:e7,36,-89
2017-10-31 12:23:25,model=SM-G950F_device=dreamlte,32.10398062298615,35.20913421028101,700.9789152054016,7,Ariel_University,1c:b9:c4:16:ed:48,6,-57,IT-MNG,1c:b9:c4:15:ed:bc,48,-65,,1c:b9:c4:95:ed:b7,48,-65,Ariel_University,1c:b9:c4:16:ed:4c,36,-68,IT-MNG,1c:b9:c4:15:ed:b8,1,-68,Ariel_University,1c:b9:c4:16:28:e8,1,-88,Ariel_University,8c:0c:90:2e:16:88,11,-89
2017-10-31 12:23:25,model=SM-G950F_device=dreamlte,32.1034255,35.20978696,702.0,1,IT-MNG,1c:b9:c4:15:ed:bc,48,-59
2017-10-31 12:23:25,model=SM-G950F_device=dreamlte,32.10382299776282,35.20962658515047,699.2727264593732,2,Ariel_University,8c:0c:90:2e:16:88,11,-80,,8c:0c:90:6e:16:88,11,-82
2017-10-31 12:23:25,model=SM-G950F_device=dreamlte,32.10370157178779,35.20888411397486,704.1583149854903,6,,8c:0c:90:ae:16:83,11,-69,Ariel_University,1c:b9:c4:15:1c:b8,1,-70,Ariel_University,8c:0c:90:2e:16:88,11,-70,,8c:0c:90:6e:16:88,11,-71,Ariel_University,1c:b9:c4:15:1c:bc,36,-77,DIRECT-61-HP DeskJet 3630 series,30:e1:71:0d:e0:63,6,-80
2017-10-31 12:23:25,model=SM-G950F_device=dreamlte,32.10342863782331,35.209787705964615,704.0335158415602,4,DIRECT-61-HP DeskJet 3630 series,30:e1:71:0d:e0:63,6,-69,,1c:b9:c4:95:1c:b7,36,-82,Ariel_University,1c:b9:c4:14:2b:8c,44,-88,Onicom,c0:4a:00:71:ee:ee,9,-90
2017-10-31 12:23:25,model=SM-G950F_device=dreamlte,32.103619070466436,35.208915138272,692.3646038730334,5,DIRECT-61-HP DeskJet 3630 series,30:e1:71:0d:e0:63,6,-62,,8c:0c:90:6e:16:88,11,-65,Ariel_University,1c:b9:c4:16:e5:ac,36,-83,Ariel_University,1c:b9:c4:16:28:ec,36,-83,,1c:b9:c4:96:28:e7,36,-84
2017-10-31 12:23:25,model=SM-G950F_device=dreamlte,32.103726713119556,35.20956269571841,700.1034854794966,2,Ariel_University,8c:0c:90:2e:16:88,11,-64,,1c:b9:c4:96:e5:a7,36,-83
2017-10-31 12:23:25,model=SM-G950F_device=dreamlte,32.10336788667826,35.209792252151274,703.4784394602093,6,,8c:0c:90:ae:16:83,11,-64,Ariel_University,1c:b9:c4:16:e5:a8,6,-78,Ariel_University,1c:b9:c4:14:2b:8c,44,-82,,1c:b9:c4:94:2b:87,44,-83,,1c:b9:c4:96:f1:57,52,-87,Ariel_University,1c:b9:c4:16:f1:5c,52,-87
